"comparison_id","dataset","family","baseline","comparator","metric","baseline_point","candidate_point","effect_candidate_minus_baseline","effect_ci_low","effect_ci_high","relative_gain","relative_gain_ci_low","relative_gain_ci_high","one_sided_p_candidate_not_better","holm_adjusted_p","groups","checkpoints","resamples","random_seed","paired_multiplicities"
"beijing_air|APN|Safe|mse","beijing_air","primary","APN","Safe","mse","0.8862827865333313","0.8905690296028704","0.004286243069539175","-0.0017932895949139267","0.011789609818067173","-0.00483620254693729","-0.012889840072660566","0.002083028079984613","0.9085218295634088","1.0","181","5","50000","20260721","True"
"beijing_air|APN|Safe|mae","beijing_air","primary","APN","Safe","mae","0.6148189772764547","0.6123070805754013","-0.002511896701053451","-0.006384871427606131","0.000263813888893028","0.004085587455645454","-0.00042997421881566574","0.01045206711211806","0.043199136017279656",,"181","5","50000","20260721","True"
"beijing_air|Joint|Safe|mse","beijing_air","secondary","Joint","Safe","mse","0.8742695994541546","0.8905690296028704","0.01629943014871582","0.004157911548882851","0.029300967854331096","-0.0186434826956036","-0.030325644899593388","-0.005418055616863828","0.996340073198536","1.0","181","5","50000","20260721","True"
"beijing_air|Joint|Safe|mae","beijing_air","secondary","Joint","Safe","mae","0.6153540744596989","0.6123070805754013","-0.003046993884297633","-0.008709532706481062","0.0026378132677122904","0.004951610805491121","-0.0041600993524843815","0.014747970014826039","0.1481370372592548",,"181","5","50000","20260721","True"
"beijing_air|Safe|Full|mse","beijing_air","secondary","Safe","Full","mse","0.8905690296028704","0.8742308337916023","-0.016338195811268164","-0.0293744523672345","-0.0041629458898760265","0.018345793833133655","0.0053922251266860805","0.02950890942837852","0.0036799264014719707","0.04047919041619168","181","5","50000","20260721","True"
"beijing_air|Safe|Full|mae","beijing_air","secondary","Safe","Full","mae","0.6123070805754013","0.6152966918612746","0.0029896112858732726","-0.00269360194868187","0.008648289408783535","-0.004882535872464279","-0.014863140945788675","0.004238815564443579","0.8472830543389133",,"181","5","50000","20260721","True"
"beijing_air|Safe|SafeNoBalance|mse","beijing_air","secondary","Safe","SafeNoBalance","mse","0.8905690296028704","0.8868464530356495","-0.00372257656722097","-0.008680821955033072","-0.00022234612244869062","0.004179997780611089","0.00028215007253267247","0.009079550736852402","0.017159656806863863","0.1372772544549109","181","5","50000","20260721","True"
"beijing_air|Safe|SafeNoBalance|mae","beijing_air","secondary","Safe","SafeNoBalance","mae","0.6123070805754013","0.6106257894215104","-0.0016812911538909292","-0.003163747611831741","-0.00033883697222675426","0.002745830004629336","0.0005662192364118887","0.005083808819550828","0.007059858802823943",,"181","5","50000","20260721","True"
"beijing_air|Safe|SafeNoRobust|mse","beijing_air","secondary","Safe","SafeNoRobust","mse","0.8905690296028704","0.8739401110462784","-0.016628918556591987","-0.03175273899482027","-0.0032205335220553697","0.018672239886903867","0.004206046940432713","0.031937831322996824","0.006839863202735945","0.06155876882462351","181","5","50000","20260721","True"
"beijing_air|Safe|SafeNoRobust|mae","beijing_air","secondary","Safe","SafeNoRobust","mae","0.6123070805754013","0.6128919429445521","0.0005848623691507848","-0.004891121108074473","0.00588304880091239","-0.0009551781903308615","-0.01006145292412996","0.007673559643277075","0.5842283154336914",,"181","5","50000","20260721","True"
"beijing_air|Safe|SafeNoBound|mse","beijing_air","secondary","Safe","SafeNoBound","mse","0.8905690296028704","0.8894944848929247","-0.001074544709945724","-0.004794447098294102","0.0015833356579511126","0.001206582167386725","-0.002006864905422362","0.0049321965203150235","0.18499630007399853","1.0","181","5","50000","20260721","True"
"beijing_air|Safe|SafeNoBound|mae","beijing_air","secondary","Safe","SafeNoBound","mae","0.6123070805754013","0.6110924276777332","-0.0012146528976680893","-0.003250493261343312","-5.47201964702563E-05","0.001983731588611792","9.17698846292932E-05","0.0051318080373047095","0.013959720805583888",,"181","5","50000","20260721","True"
