comparison,left,right,view,metric,estimate,ci_low,ci_high,probability_left_better,relative_effect,n_resamples,n_seed_blocks,n_pairs
evipatch_full_vs_apn,evipatch_full,apn,none,MSE,0.0012782754933659119,-0.00016100894043965036,0.0026419083915090675,0.0412,0.004015067572321453,10000,3,3555
evipatch_full_vs_apn,evipatch_full,apn,none,MAE,0.0011181044701453061,-0.00026212103747042187,0.0029067425023790124,0.0805,0.0030216999253786228,10000,3,3555
evipatch_full_vs_apn,evipatch_full,apn,mcar,MSE,-0.0005994488715961521,-0.0023102020882128614,0.0010685825393481282,0.7507,-0.0016403488524414798,10000,3,3555
evipatch_full_vs_apn,evipatch_full,apn,mcar,MAE,-0.00043714541267714084,-0.002148185321046788,0.0010249770701954155,0.6702,-0.0010729190284774145,10000,3,3555
evipatch_full_vs_apn,evipatch_full,apn,burst,MSE,0.0008744990376438024,-0.00023544541972109672,0.0019883401814956296,0.0596,0.0025611325796981678,10000,3,3555
evipatch_full_vs_apn,evipatch_full,apn,burst,MAE,0.0009376581824158602,-0.00023810732024484422,0.002198026327700471,0.0654,0.0024207815874457157,10000,3,3555
evipatch_full_vs_apn,evipatch_full,apn,macro,MSE,0.0005177752198045226,-0.0004829273786769223,0.001546003162761261,0.1464,0.0015150559469548524,10000,3,3555
evipatch_full_vs_apn,evipatch_full,apn,macro,MAE,0.0005395390799613416,-0.000647132192595995,0.0018612205014147513,0.2089,0.0013896125037295773,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,none,MSE,0.0006760615007505589,-0.000545995706199823,0.0018292285482421678,0.1362,0.002119502262838928,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,none,MAE,-0.0003272374315295703,-0.0019044264750144293,0.002056676385782281,0.6948,-0.0008809248213420451,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,mcar,MSE,0.00010384684276427954,-0.0018202584310971187,0.002147544826050331,0.4661,0.00028471738248909696,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,mcar,MAE,-0.0001940169013689722,-0.0019071845965658737,0.001231015216909952,0.5781,-0.0004764746721260948,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,burst,MSE,0.00036559048168822604,-0.0006478280410842778,0.0014154775903327161,0.2462,0.001069106081663705,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,burst,MAE,-0.0003249562286874534,-0.0016399363285739877,0.0012347029767466923,0.6706,-0.000836223839560469,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,macro,MSE,0.00038183294173435535,-0.0005168822453558057,0.0013171954959849204,0.2129,0.0011168326022213011,10000,3,3555
evipatch_full_vs_raw_count,evipatch_full,raw_count,macro,MAE,-0.0002820701871953319,-0.0017623806992057467,0.0013164623608200522,0.6324,-0.0007249531704539654,10000,3,3555
evipatch_full_vs_shuffled_evidence,evipatch_full,shuffled_evidence,none,MSE,0.001575717941321295,0.00029432101345298157,0.0028199633204072654,0.0073,0.004953963618020429,10000,3,3555
evipatch_full_vs_shuffled_evidence,evipatch_full,shuffled_evidence,none,MAE,0.0017959520107521866,-0.0004629184642307955,0.004418024360705744,0.075,0.004862504207203048,10000,3,3555
evipatch_full_vs_shuffled_evidence,evipatch_full,shuffled_evidence,mcar,MSE,0.0010475132159194673,-0.0005973625623020317,0.0026330344707179995,0.1101,0.0028794217610506696,10000,3,3555
evipatch_full_vs_shuffled_evidence,evipatch_full,shuffled_evidence,mcar,MAE,0.0018583199029714975,-0.0013220408027817558,0.004240878817899526,0.1155,0.004586857051161363,10000,3,3555
evipatch_full_vs_shuffled_evidence,evipatch_full,shuffled_evidence,burst,MSE,0.0013489252935933907,5.6897492663079705e-05,0.002611828335452345,0.0208,0.00395607458653964,10000,3,3555
evipatch_full_vs_shuffled_evidence,evipatch_full,shuffled_evidence,burst,MAE,0.001870044085657326,-0.0003050753366781344,0.004109690576177067,0.0465,0.004839601309090489,10000,3,3555
evipatch_full_vs_shuffled_evidence,evipatch_full,shuffled_evidence,macro,MSE,0.0013240521502780507,0.0003639477934944053,0.002354498689587706,0.0024,0.003883455330415059,10000,3,3555
