variant,seed,shift,MSE,MAE,parameter_count,train_wall_seconds,train_peak_gpu_memory_mib,inference_wall_seconds,inference_peak_gpu_memory_mib,evaluation_path
apn,2024,none,0.31292209029197693,0.36601370573043823,6701,73.48608479998074,59.515625,7.348640099982731,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2024\checkpoints\P12\APN\APN_P12_apn_seed2024\36_3\2026_0721_0253\iter0\eval_native
apn,2024,mcar,0.3586543798446655,0.40142756700515747,6701,73.48608479998074,59.515625,8.6710167999845,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2024\checkpoints\P12\APN\APN_P12_apn_seed2024\36_3\2026_0721_0253\iter0\eval_mcar
apn,2024,burst,0.33355557918548584,0.3818478286266327,6701,73.48608479998074,59.515625,9.027932400000282,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2024\checkpoints\P12\APN\APN_P12_apn_seed2024\36_3\2026_0721_0253\iter0\eval_burst
apn,2025,none,0.31201061606407166,0.36436307430267334,6701,100.6478485999396,59.515625,7.3378965998999774,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2025\checkpoints\P12\APN\APN_P12_apn_seed2025\36_3\2026_0721_0255\iter0\eval_native
apn,2025,mcar,0.35894548892974854,0.40078026056289673,6701,100.6478485999396,59.515625,8.50811060005799,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2025\checkpoints\P12\APN\APN_P12_apn_seed2025\36_3\2026_0721_0255\iter0\eval_mcar
apn,2025,burst,0.3380644917488098,0.3831389248371124,6701,100.6478485999396,59.515625,8.975462100002915,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2025\checkpoints\P12\APN\APN_P12_apn_seed2025\36_3\2026_0721_0255\iter0\eval_burst
apn,2026,none,0.3120608925819397,0.3656258285045624,6701,120.85135440004524,59.515625,7.454586900072172,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2026\checkpoints\P12\APN\APN_P12_apn_seed2026\36_3\2026_0721_0257\iter0\eval_native
apn,2026,mcar,0.36033883690834045,0.4036226272583008,6701,120.85135440004524,59.515625,8.89719269995112,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2026\checkpoints\P12\APN\APN_P12_apn_seed2026\36_3\2026_0721_0257\iter0\eval_mcar
apn,2026,burst,0.33413293957710266,0.3826940655708313,6701,120.85135440004524,59.515625,9.021712700021453,31.36474609375,C:\Users\qintian\Desktop\msn2\results\stage_a\apn\2026\checkpoints\P12\APN\APN_P12_apn_seed2026\36_3\2026_0721_0257\iter0\eval_burst
global_ratio,2024,none,0.31191325187683105,0.36752021312713623,6725,114.752440799959,66.79736328125,7.3440461999271065,32.53369140625,C:\Users\qintian\Desktop\msn2\results\stage_a\global_ratio\2024\checkpoints\P12\APN\APN_P12_global_ratio_seed2024\36_3\2026_0721_0300\iter0\eval_native
